scorepam_fid,covcount,pointcount,scoreswin,hwlenkm,scores,venuecnt,userdayspa,dayspafina,sum_length,days_pa_km
224,0,0,0,1.225868,0,0,0,0,0,0
225,0,0,0,1.010988,0,0,4.468124,4.468124,1.010988,4.41956
226,0,0,0,0.738074,0,0,0,0,0,0
227,0,0,0,0.743483,0,0,0,0,0,0
228,0,0,0,0.023324,0,0,0,0,0,0
229,0,0,0,0.056903,0,1,0,0,0,0
230,0,0,0,0.853545,0,0,0,0,0,0
231,0,0,0,1.005894,0,0,0,0,0,0
232,0,0,0,0.335625,0,0,0,0,0,0
233,0,0,0,0.820324,0,0,0,0,0,0
234,0,0,0,0.514926,0,0,0,0,0,0
235,0,0,0,0.111534,0,0,0,0,0,0
236,0,0,0,2.523351,0,0,0,0,0,0
237,0,0,0,0.226147,0,0,0,0,0,0
238,0,0,0,1.257099,0,0,0,0,0,0
239,0,0,0,1.044671,0,0,0,0,0,0
240,0,0,0,1.071177,0,0,0,0,0,0
241,0,0,0,2.824587,0,0,0,0,0,0
242,0,0,0,1.1949,0,0,0,0,0,0
243,0,0,0,1.658977,0,0,0,0,0,0
244,0,0,0,0.072128,0,0,0,0,0,0
245,0,0,0,0.28815,0,0,0.032743,0.032743,0.28815,0.113632
246,0,0,0,0.687949,0,0,0,0,0,0
247,0,0,0,5.996847,0,0,0,0,0,0
248,0,0,0,2.438391,0,0,0,0,0,0
249,0,0,0,4.61964,0,0,0,0,0,0
250,0,0,0,3.744581,0,1,0,0,0,0
251,0,0,0,0.599019,0,0,0,0,0,0
252,0,0,0,2.103185,0,0,0,0,0,0
253,0,0,0,3.27302,0,0,0,0,0,0
254,0,0,0,0.441491,0,0,0,0,0,0
255,0,0,0,1.526015,0,0,0,0,0,0
256,0,0,0,1.384099,0,0,0,0,0,0
257,0,0,0,0.82214,0,0,3.298998,3.298998,0.82214,4.012696
258,0,0,0,0.742166,0,0,0,0,0,0
259,0,0,0,6.204559,0,1,0,0,0,0
260,0,0,0,13.261134,0,0,0.000445,0.000445,13.261134,0.000034
261,0,0,0,10.118053,0,0,0,0,0,0
262,0,0,0,1.978358,0,1,0,0,0,0
263,0,0,0,4.25644,0,0,0.371563,0.371563,4.25644,0.087294
264,0,0,0,0.935489,0,0,1.046864,1.046864,0.935489,1.119056
265,0,0,0,5.889782,0,0,0.310064,0.310064,5.889782,0.052644
266,0,0,0,2.281537,0,0,0,0,0,0
267,0,0,0,1.437433,0,0,0,0,0,0
268,0,0,0,1.371375,0,0,0,0,0,0
269,0,0,0,1.293407,0,0,0,0,0,0
270,0,0,0,1.019686,0,0,0,0,0,0
271,0,0,0,0.335301,0,0,0,0,0,0
272,0,0,0,0.882399,0,0,0,0,0,0
273,0,0,0,5.366218,0,0,0.483048,0.483048,5.366218,0.090016
274,0,0,0,2.959857,0,0,0.306099,0.306099,2.959857,0.103417
275,0,0,0,0.367695,0,0,1.159503,1.159503,0.367695,3.15344
276,0,0,0,1.68822,0,0,0.894416,0.894416,1.68822,0.529798
277,0,0,0,1.782298,0,0,0.000484,0.000484,1.782298,0.000272
278,0,0,0,0.511756,0,0,0,0,0,0
279,0,0,0,0.004391,0,0,0,0,0,0
280,10,1,0.002402,1.626224,0.002402,1,0.625,0.625,1.626224,0.384326
281,10,2,0.005941,2.630106,0.005941,0,0,0,0,0
282,9,1,0.001791,4.361857,0.001791,1,2.672351,2.672351,4.361857,0.612664
283,10,1,0.003493,1.118403,0.003493,1,1.342014,1.35019,1.355828,0.995841
284,10,5,0.482352,2.073175,0.482352,2,2.103917,2.103917,2.073175,1.014828
285,10,1,0.01245,0.313758,0.01245,2,32.361618,32.361618,0.313758,103.14193
286,10,4,0.147962,1.689626,0.147962,2,12.196577,12.196577,1.689626,7.218506
287,10,1,0.003774,1.034906,0.003774,1,1.957122,1.957122,1.034906,1.891111
288,10,1,0.009942,0.39292,0.009942,1,0.174047,0.174047,0.39292,0.442957
289,10,1,0.002286,1.709034,0.002286,1,1.075953,1.075953,1.709034,0.629568
290,10,1,0.002856,1.36785,0.002856,1,36.317569,36.317569,1.36785,26.550845
291,10,1,0.007206,0.542076,0.007206,0,0,0,0,0
292,9,1,0.006606,1.182628,0.006606,1,0.305955,3.714066,1.182628,3.14052
293,9,1,0.004526,1.725956,0.004526,1,2.348259,2.348259,1.725956,1.360556
294,9,1,0.00956,0.817247,0.00956,0,0,0,0,0
295,9,1,0.002558,3.054686,0.002558,0,0,0,0,0
296,10,1,0.003655,1.068862,0.003655,1,2.39981,2.39981,1.068862,2.245201
297,10,1,0.003661,1.067098,0.003661,1,1.136575,1.136575,1.067098,1.065108
298,10,1,0.006526,0.598532,0.006526,1,0.140941,0.140941,0.598532,0.235478
299,10,3,0.045919,1.36108,0.045919,3,83.299006,83.299006,1.36108,61.200668
300,10,4,0.16269,1.536664,0.16269,6,8.128677,8.128677,1.536664,5.289822
301,9,4,0.22626,2.209845,0.22626,1,0,0,0,0
302,9,3,0.033106,3.775769,0.033106,3,3.467415,3.467415,3.775769,0.918334
303,10,1,0.003501,1.115726,0.003501,1,10.266815,10.266815,1.115726,9.201916
304,9,3,0.106516,1.173533,0.106516,3,0.650865,25.296577,1.173533,21.555911
305,9,1,0.002522,3.097753,0.002522,2,0.362987,0.362987,3.097754,0.117177
306,10,1,0.003481,1.122162,0.003481,2,3.410575,3.410575,1.122162,3.039289
307,10,6,5.429397,0.73673,5.429394,3,1.043899,1.050856,0.73673,1.426378
308,11,9,16.82,2.610158,49.039186,14,31.017903,31.017903,2.610158,11.883537
309,11,1,0.125409,0.015574,0.125409,0,0,0,0,0
310,9,1,0.007003,1.115643,0.007003,1,0.114085,2.206531,1.115643,1.977812
311,9,2,0.011761,2.657032,0.011761,1,0,0,0,0
312,9,4,0.169703,2.946322,0.169703,4,5.161977,10.194106,2.946322,3.459942
313,9,1,0.00759,1.029371,0.00759,1,6.353151,7.102038,1.029371,6.899395
314,9,2,0.067389,0.463726,0.067389,0,0,0,0,0
315,9,1,0.002186,3.574147,0.002186,1,22.072394,22.072394,3.574147,6.17557
316,10,1,0.003442,1.134865,0.003442,1,0.119481,0.119481,1.134865,0.105282
317,11,2,0.030776,0.253848,0.030776,1,0,0,0,0
318,11,2,0.006087,1.283418,0.006087,2,10.095484,10.095484,1.283418,7.866093
319,9,1,0.005672,1.377482,0.005672,1,0.114105,0.813349,1.377482,0.590461
320,10,1,0.004281,0.912524,0.004281,1,1.208303,3.829707,0.912524,4.196829
321,10,1,0.003401,1.148493,0.003401,1,0.451547,0.451547,1.148493,0.393165
322,10,4,0.330391,0.75668,0.330391,2,0.652741,0.652741,0.75668,0.862639
323,10,1,0.003245,1.203667,0.003245,1,0.455391,0.455391,1.203667,0.378336
324,10,1,0.00315,1.240149,0.00315,1,1.053973,1.053973,1.240149,0.849876
325,11,1,0.001909,1.022937,0.001909,2,5.544251,5.544251,1.022937,5.419934
326,9,1,0.00623,1.253927,0.00623,1,0.297879,1.740482,1.253927,1.388025
327,10,1,0.002657,1.469936,0.002657,2,5.288931,5.288931,1.469936,3.598069
328,10,1,0.001737,2.249456,0.001737,1,3.077203,3.077203,2.249456,1.367977
329,10,1,0.002116,1.846268,0.002116,1,0.018846,0.018846,1.846268,0.010208
330,10,1,0.002885,1.353754,0.002885,1,28.983258,28.983258,1.353754,21.409548
331,11,4,0.105711,1.182472,0.105711,1,0,0,0,0
332,11,1,0.000867,2.252056,0.000867,1,0,0,0,0
333,11,1,0.001081,1.806758,0.001081,3,10.318365,10.318365,1.806758,5.710985
334,11,3,0.262802,0.118911,0.262801,0,0.746359,0.746359,0.118911,6.276602
335,10,2,0.017134,0.911932,0.017134,0,3.482389,3.482389,0.911932,3.818692
336,10,2,0.014937,1.046077,0.014937,2,0,0,0,0
337,11,8,16.82,1.441884,22.19319,3,0.104719,0.104719,1.441884,0.072627
